Pclass,Age,SibSp,Parch,Fare,FamilySize,TicketGroup,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_Unknown,FamilyCategory_Large,FamilyCategory_Small,AgeGroup_Teenager,AgeGroup_Adult,AgeGroup_Elderly,Survived
3,-0.17828061050251648,-0.46508427634374117,-0.46618317148792077,0.5138115038918489,-0.5563385795422586,3.9549093763898493,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2,0.04475026885544795,-0.46508427634374117,-0.46618317148792077,-0.6625632269369692,-0.5563385795422586,-0.5490821079184883,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0.7881865333819961,-0.46508427634374117,-0.46618317148792077,3.9553985809041556,-0.5563385795422586,-0.5490821079184883,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,-0.8473732485764098,-0.46508427634374117,0.7277823612437324,-0.4678743521312413,0.07341192703021858,-0.5490821079184883,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
2,0.11909389530810277,0.4783345406270387,0.7277823612437324,-0.11597681371233177,0.7031624336026958,0.3517161889431792,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
3,-0.6243423692184453,-0.46508427634374117,-0.46618317148792077,-0.48696219079802316,-0.5563385795422586,-0.5490821079184883,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,-0.2526242369551713,-0.46508427634374117,-0.46618317148792077,0.5138115038918489,-0.5563385795422586,3.9549093763898493,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1,0.7881865333819961,-0.46508427634374117,-0.46618317148792077,4.075039579498675,-0.5563385795422586,2.153312782666514,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,-0.17828061050251648,-0.46508427634374117,-0.46618317148792077,-0.5011900954135049,-0.5563385795422586,-0.5490821079184883,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
3,0.11909389530810277,0.4783345406270387,-0.46618317148792077,-0.2877611150115036,0.07341192703021858,-0.5490821079184883,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
1,1.977684556624473,-0.46508427634374117,-0.46618317148792077,0.07662982713825477,-0.5563385795422586,-0.5490821079184883,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,-0.6243423692184453,0.4783345406270387,-0.46618317148792077,-0.45798374084431925,0.07341192703021858,-0.5490821079184883,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
3,-0.17828061050251648,7.082266259422497,1.9217478939753856,0.7856304888639273,5.741166486182514,3.0541110795281816,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
1,1.977684556624473,-0.46508427634374117,-0.46618317148792077,-0.10973011184690733,-0.5563385795422586,-0.5490821079184883,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,-0.6243423692184453,-0.46508427634374117,-0.46618317148792077,-0.5001489784359341,-0.5563385795422586,-0.5490821079184883,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0.26778114821341237,0.4783345406270387,-0.46618317148792077,1.2114473326903592,0.07341192703021858,-0.5490821079184883,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
3,-0.6243423692184453,-0.46508427634374117,-0.46618317148792077,-0.5015378284840135,-0.5563385795422586,-0.5490821079184883,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,-0.17828061050251648,-0.46508427634374117,-0.46618317148792077,-0.5116012651892122,-0.5563385795422586,-0.5490821079184883,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,1.0112174127399605,-0.46508427634374117,-0.46618317148792077,-0.5282591368303441,-0.5563385795422586,-0.5490821079184883,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,-0.8473732485764098,2.3651721745685985,0.7277823612437324,-0.13228695228295498,1.9626634467476503,1.2525144858048467,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
3,0.04475026885544795,0.4783345406270387,-0.46618317148792077,-0.32732356015919156,0.07341192703021858,0.3517161889431792,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
1,0.19343752176075757,-0.46508427634374117,-0.46618317148792077,0.9260084554177004,-0.5563385795422586,-0.5490821079184883,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1,0.7138429069293413,-0.46508427634374117,-0.46618317148792077,0.9865660655350799,-0.5563385795422586,-0.5490821079184883,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2,-0.7730296221237549,-0.46508427634374117,-0.46618317148792077,-0.44392866164711425,-0.5563385795422586,-0.5490821079184883,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
3,-0.40131148986048093,-0.46508427634374117,-0.46618317148792077,-0.49815419830690855,-0.5563385795422586,-0.5490821079184883,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2,1.15990466564527,-0.46508427634374117,-0.46618317148792077,-0.38146164299287,-0.5563385795422586,-0.5490821079184883,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
3,-0.47565511631313573,-0.46508427634374117,-0.46618317148792077,-0.49815419830690855,-0.5563385795422586,-0.5490821079184883,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,0.9368737862873057,-0.46508427634374117,0.7277823612437324,-0.48756812087896934,0.07341192703021858,-0.5490821079184883,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
1,0.7138429069293413,0.4783345406270387,0.7277823612437324,1.0689871321814448,0.7031624336026958,-0.5490821079184883,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
3,-0.9960605014817194,-0.46508427634374117,-0.46618317148792077,-0.4949433935480804,-0.5563385795422586,-0.5490821079184883,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
3,-0.17828061050251648,-0.46508427634374117,-0.46618317148792077,-0.49815419830690855,-0.5563385795422586,-0.5490821079184883,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2,2.7211208211510214,-0.46508427634374117,-0.46618317148792077,-0.44392866164711425,-0.5563385795422586,-0.5490821079184883,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,-0.10393698404986167,-0.46508427634374117,-0.46618317148792077,-0.10973011184690733,-0.5563385795422586,-0.5490821079184883,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2,1.605966424361199,-0.46508427634374117,-0.46618317148792077,-0.40176342405549936,-0.5563385795422586,-0.5490821079184883,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2,1.3085919185505797,-0.46508427634374117,-0.46618317148792077,-0.35022813366574784,-0.5563385795422586,-0.5490821079184883,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
